,data_num,part1_patient_mean,part1_slope,part1_std,week,Delta1,Omicron1,policy1,policy2,label
774,275.0,455.95238095238096,0.020553221288515403,0.14625930342278434,3.0,0.0,0.0,1.9285714285714286,2.5,2.0
465,544.0,1707.6666666666667,0.0024350649350649346,0.3105163122096555,6.0,442.3809523809524,0.0,3.0,3.0,1.0
230,939.0,35405.19047619047,-0.026367039877841433,0.22557288853490365,2.0,0.0,233.95238095238096,1.0,1.0,0.0
224,317.0,623.5714285714286,-0.03983951891901681,0.2796680080153132,3.0,0.0,0.0,2.5,2.5,0.0
758,629.0,2881.714285714286,0.01995980494418281,0.14027403712216685,0.0,434.04761904761904,0.0,1.0,1.0,2.0
298,141.0,19.333333333333332,-0.009054834054834052,0.2502056767110534,2.0,0.0,0.0,1.0,1.0,0.0
177,199.0,115.47619047619048,-0.025076741440377803,0.2120139906295325,4.0,0.0,0.0,2.238095238095238,2.0,0.0
829,865.0,33485.42857142857,0.0278694554674518,0.19522099851579372,5.0,0.0,95.0,1.0,1.0,2.0
82,184.0,251.14285714285714,-0.029498106060606058,0.230456664163872,3.0,0.0,0.0,2.261904761904762,2.142857142857143,0.0
843,247.0,92.28571428571429,0.0009422753902249157,0.072795807738359,3.0,0.0,0.0,1.0,1.3214285714285714,2.0
662,230.0,66.42857142857143,0.0068831168831168825,0.24051135999306622,0.0,0.0,0.0,1.3333333333333333,1.0,2.0
922,694.0,8925.142857142857,0.015309031424362787,0.10196648325647643,2.0,108.47619047619048,773.5714285714286,3.0,3.0,2.0
734,280.0,570.0,0.02439444613357657,0.18413354901980059,1.0,0.0,0.0,2.1666666666666665,2.5,2.0
904,704.0,24556.238095238095,0.014259696686576654,0.0927796933584964,5.0,18.476190476190474,766.1904761904761,3.0,3.0,2.0
535,338.0,372.3333333333333,-0.010174488088598518,0.21233184080323816,3.0,0.0,0.0,2.5,2.142857142857143,1.0
202,316.0,654.6190476190476,-0.040809055809055805,0.28383155202551885,2.0,0.0,0.0,2.5,2.5,0.0
746,840.0,7576.142857142857,-0.01189969407820608,0.14997133589379957,1.0,0.0,273.9047619047619,1.0,1.0,2.0
772,488.0,712.9047619047619,0.028577885182998815,0.20583691404847013,6.0,83.52380952380952,0.0,1.5238095238095237,2.857142857142857,2.0
510,523.0,1593.6666666666667,0.025278946405706968,0.2700343138081465,6.0,384.0,0.0,3.0,3.0,1.0
473,408.0,589.2380952380952,0.017989107666527022,0.2584853519478368,3.0,0.0,0.0,2.0,2.0,1.0
39,17.0,152.71428571428572,-0.03485662851999485,0.2774815972332481,4.0,0.0,0.0,2.238095238095238,3.0,0.0
841,75.0,12.476190476190476,0.008976317799847212,0.14914832086905633,6.0,0.0,0.0,1.1428571428571428,1.0,2.0
802,729.0,162126.09523809524,0.014989256394526156,0.10646011818958531,2.0,0.09523809523809523,151.04761904761904,3.0,2.857142857142857,2.0
866,256.0,142.95238095238096,0.018266210323972052,0.13228039338635106,5.0,0.0,0.0,1.0476190476190477,1.8928571428571428,2.0
533,889.0,102870.76190476191,0.012666668115663594,0.2111717861866833,1.0,0.0,16.095238095238095,1.0,1.0,1.0
368,670.0,4749.571428571428,-0.0351917823312211,0.2715617052425922,6.0,602.4285714285714,102.28571428571429,3.0,3.0,1.0
462,291.0,849.5238095238095,0.0417960088691796,0.3130670862373011,5.0,0.0,0.0,2.4285714285714284,2.5,1.0
95,193.0,163.0952380952381,-0.031196172248803822,0.22476390201499338,5.0,0.0,0.0,2.357142857142857,2.0,0.0
113,195.0,143.42857142857142,-0.029435347261434215,0.2176718686418979,0.0,0.0,0.0,2.3333333333333335,2.0,0.0
108,786.0,74510.09523809524,-0.032888300385562154,0.25076969343881433,3.0,0.0,297.4761904761905,1.1904761904761905,1.0,0.0
786,479.0,509.0952380952381,0.008690588834704124,0.09542644290971083,4.0,23.0,0.0,1.9523809523809523,1.5714285714285714,2.0
51,776.0,143835.61904761905,-0.031981668458519394,0.25310505998859406,0.0,0.0,369.57142857142856,1.6666666666666667,1.0,0.0
435,532.0,1695.2380952380952,0.007877132927434735,0.260348665205903,1.0,405.23809523809524,0.0,3.0,3.0,1.0
595,594.0,1588.7142857142858,-0.019100116301608835,0.2093672959894691,0.0,418.23809523809524,0.0,3.0,2.0,1.0
375,412.0,624.047619047619,0.021231671554252197,0.28848428071390286,0.0,0.0,0.0,2.0,2.0,1.0
268,749.0,349244.2380952381,0.0005043499475684152,0.17881377968349904,1.0,0.047619047619047616,115.14285714285714,2.619047619047619,2.0,0.0
801,485.0,602.4761904761905,0.015831611570247935,0.13012162599054417,3.0,60.095238095238095,0.0,1.6666666666666667,2.4285714285714284,2.0
